Title,Also Called,Condensed Summary,Physician
Giant Cell Arteritis,,"Giant cell arteritis is a disorder that causes inflammation of your arteries, usually in the scalp, neck, and arms. It narrows the arteries, which keeps blood from flowing well.","Hematology, Cardiology"
Giardia Infections,,"Giardiasis is an illness caused by a parasite called Giardia intestinalis. It lives in soil, food, and water.",Infectious Disease
Glaucoma,,Glaucoma is a group of diseases that can damage the eye's optic nerve. It is a leading cause of blindness in the United States.,Ophthalmology
Gluten Sensitivity,Gluten Intolerance,"Gluten is a protein found in wheat, rye, and barley. It is found mainly in foods but may also be in other products like medicines, vitamins, and supplements.",Gastroenterology
Gonorrhea,The clap,Gonorrhea is a sexually transmitted disease. It is most common in young adults.,Gynecology
Gout,Gouty arthritis,"Gout is a common, painful form of arthritis. It causes swollen, red, hot and stiff joints.",Orthopedics
Granulomatosis with Polyangiitis,"GPA, Wegener's Granulomatosis","Granulomatosis with polyangiitis (GPA), previously known as Wegener's granulomatosis, is a rare disease. It is a type of vasculitis, or inflammation of the blood vessels.","Hematology, Cardiology"
Growth Disorders,,Does your child seem much shorter - or much taller - than other kids his or her age? It could be normal.,Endocrinology
Guide to Good Posture,,Good posture is about more than standing up straight so you can look your best.,Orthopedics
Guillain-Barre Syndrome,"Acute idiopathic polyneuritis, Acute inflammatory polyneuropathy, Infectious polyneuritis, Landry-Guillain-Barre syndrome",Guillain-Barre syndrome is a rare disorder that causes your immune system to attack your peripheral nervous system (PNS). The PNS nerves connect your brain and spinal cord with the rest of your body.,Neurology
Gum Disease,Periodontal disease,"If you have gum disease, you're not alone. Many U.S. adults currently have some form of the disease.",Dentistry
H1N1 Flu (Swine Flu),Swine flu,Swine flu is an infection caused by a virus. It's named for a virus that pigs can get.,Pulmonology
Haemophilus Infections,,Haemophilus is the name of a group of bacteria. There are several types of Haemophilus.,Infectious Disease
Hair Loss,Alopecia,"You lose up to 100 hairs from your scalp every day. That's normal, and in most people, those hairs grow back.",Dermatology
Hair Problems,,"The average person has 5 million hairs. Hair grows all over your body except on your lips, palms, and the soles of your feet.",Dermatology
Hand Injuries and Disorders,,"No matter how old you are or what you do for a living, you are always using your hands. When there is something wrong with them, you may not be able to do your regular activities.",Orthopedics
Hantavirus Infections,"HPS, Hanta virus",Hantavirus pulmonary syndrome (HPS) is a rare but deadly viral infection. It is spread by mice and rats.,Infectious Disease
Hay Fever,Pollen allergy,"Each spring, summer, and fall, trees, weeds, and grasses release tiny pollen grains into the air. Some of the pollen ends up in your nose and throat.",Otolaryngology
"HDL: The ""Good"" Cholesterol",High-density lipoprotein,"What is cholesterol? Cholesterol is a waxy, fat-like substance that's found in all the cells in your body.","Hematology, Cardiology"
Head and Neck Cancer,,"What is head and neck cancer? Head and neck cancer is the name for cancers that develop in the mouth, nose and sinuses, salivary glands, and throat and voice box (larynx).",Otolaryngology
Head Injuries,"Cranial injuries, Skull fractures, Skull injuries","Chances are you've bumped your head before. Often, the injury is minor because your skull is hard and it protects your brain.",Trauma Surgery
Head Lice,Pediculosis,What are head lice? Head lice are tiny insects that live on people's heads.,Dermatology
Headache,,Almost everyone has had a headache. Headache is the most common form of pain.,Neurology
Health Disparities,,Health disparities are health differences between different groups of people. These health differences may include: How many people get certain diseases How severe the diseases are How many people have complications because of the diseases How many people die from a disease Whether people can get health care How many people get screened for a disease These groups of people may be based on: Race Ethnicity Immigrant status Disability Sex or gender Sexual orientation Geography Income Level of education NIH: National Institute on Minority Health and Health Disparities,"Geriatrics, Pediatrics"
Health Problems in Pregnancy,,"Every pregnancy has some risk of problems, but there are certain conditions and health issues that can raise that risk, such as: A health condition you had before you got pregnant A health condition you develop during pregnancy A pregnancy with more than one baby A health problem that happened during a previous pregnancy and could happen again Substance use during pregnancy Being over age 35 Any of these can affect your health, the health of your baby, or both. If you have a chronic condition, you should talk to your health care provider about how to minimize your risk before you get pregnant.",Gynecology
Healthy Aging,,"People in the U.S. are living longer, and the number of older adults in the population is growing. As we age, our minds and bodies change.",Geriatrics
Healthy Sleep,Sleep Hygeine,"What is sleep? While you are sleeping, you are unconscious, but your brain and body functions are still active.",Neurology
Hearing Aids,,A hearing aid is a small electronic device that you wear in or behind your ear. It makes some sounds louder.,Otolaryngology
Hearing Disorders and Deafness,"Hearing loss, Presbycusis","It's frustrating to be unable to hear well enough to enjoy talking with friends or family. Hearing disorders make it hard, but not impossible, to hear.",Otolaryngology
Hearing Problems in Children,,Most children hear and listen from the moment they are born. They learn to talk by imitating the sounds around them and the voices of their parents and caregivers.,Otolaryngology
Heart Attack,"MI, Myocardial infarction","Each year almost 800,000 Americans have a heart attack. A heart attack happens when blood flow to the heart suddenly becomes blocked.","Hematology, Cardiology"
Heart Disease in Women,,What is heart disease? Heart disease is a general term that includes many types of heart problems.,"Hematology, Cardiology"
Heart Diseases,Cardiac diseases,What is heart disease? Heart disease is a general term that includes many types of heart problems.,"Hematology, Cardiology"
Heart Failure,"CHF, Cardiac failure, Congestive heart failure, Left-sided heart failure, Right-sided heart failure",What is heart failure? Heart failure means that your heart can't pump enough oxygen-rich blood to meet your body's needs.,"Hematology, Cardiology"
Heart Health Tests,Cardiac Diagnostic Tests,Heart diseases are the number one killer in the U.S. They are also a major cause of disability.,"Hematology, Cardiology"
Heart Surgery,Cardiac surgery,What is heart surgery? Heart surgery can correct certain heart problems when other treatments haven't worked or can't be used.,"Hematology, Cardiology"
Heart Transplantation,,A heart transplant removes a damaged or diseased heart and replaces it with a healthy one. The healthy heart comes from a donor who has died.,"Hematology, Cardiology"
Heart Valve Diseases,Valvular heart disease,What are heart valve diseases? Heart valve disease happens when one or more of your heart valves don't work well.,"Hematology, Cardiology"
Heartburn,"Acid indigestion, Pyrosis","Heartburn is a painful burning feeling in your chest or throat. It happens when stomach acid backs up into your esophagus, the tube that carries food from your mouth to your stomach.",Gastroenterology
Heat Illness,"Heat exhaustion, Heat stroke, Sunstroke","Your body normally cools itself by sweating. During hot weather, especially when it is very humid, sweating just isn't enough to cool you off.",Trauma Surgery
Heel Injuries and Disorders,,"Heel problems are common and can be painful. Often, they result from too much stress on your heel bone and the tissues that surround it.",Orthopedics
Helicobacter Pylori Infections,,"Helicobacter pylori (H. pylori) is a type of bacteria that causes infection in the stomach. It is the main cause of peptic ulcers, and it can also cause gastritis and stomach cancer.",Gastroenterology
Hemochromatosis,Iron overload disease,Hemochromatosis is a disease in which too much iron builds up in your body. Your body needs iron but too much of it is toxic.,Gastroenterology
Hemophilia,"Christmas disease, Factor IX deficiency, Factor VIII deficiency",What is hemophilia? Hemophilia is a rare bleeding disorder in which the blood does not clot properly.,"Hematology, Cardiology"
Hemorrhagic Fevers,VHFs,"Viral hemorrhagic fevers (VHFs) are a group of illnesses caused by four families of viruses. These include the Ebola and Marburg, Lassa fever, and yellow fever viruses.",Infectious Disease
Hemorrhagic Stroke,"Intracerebral Hemorrhage, Subarachnoid Hemorrhage",A stroke is a medical emergency. There are two types - ischemic and hemorrhagic.,"Hematology, Cardiology"
Hemorrhoids,Piles,"What are hemorrhoids? Hemorrhoids are swollen, inflamed veins around your anus or the lower part of your rectum.",Gastroenterology
Hepatitis,Viral hepatitis,What is hepatitis? Hepatitis is inflammation of the liver.,Gastroenterology
Hepatitis A,HAV,What is Hepatitis? Hepatitis is inflammation of the liver.,Gastroenterology
Hepatitis B,HBV,What is hepatitis? Hepatitis is inflammation of the liver.,Gastroenterology
Hepatitis C,HCV,What is hepatitis C? Hepatitis is inflammation of the liver.,Gastroenterology
Herbal Medicine,"Botanicals, Phytotherapy","An herb is a plant or plant part used for its scent, flavor, or therapeutic properties. Herbal medicines are one type of dietary supplement.",Integrative Medicine
Hernia,Enterocele,A hernia happens when part of an internal organ or tissue bulges through a weak area of muscle. Most hernias are in the abdomen.,Gastroenterology
Herniated Disk,"Bulging disk, Compressed disk, Herniated intervertebral disk, Herniated nucleus pulposus, Prolapsed disk, Ruptured disk, Slipped disk","Your backbone, or spine, is made up of 26 bones called vertebrae. In between them are soft disks filled with a jelly-like substance.",Orthopedics
Heroin,"Big H, Black tar, H, Horse, Junk, Smack, TNT, Thunder","What is heroin? Heroin is an illegal, very addictive opioid drug.",Addiction Medicine
Herpes Simplex,HSV,Herpes is an infection that is caused by a herpes simplex virus (HSV). Oral herpes causes cold sores around the mouth or face.,Dentistry
Hiatal Hernia,,A hiatal hernia is a condition in which the upper part of your stomach bulges through an opening in your diaphragm. Your diaphragm is the thin muscle that separates your chest from your abdomen.,Gastroenterology
Hiccups,Hiccough,What are hiccups? Have you ever wondered what is happening when you hiccup?,Gastroenterology
Hidradenitis Suppurativa,"Acne inversa, Suppurative hidradenitis",What is hidradenitis suppurativa (HS)? Hidradenitis suppurativa (HS) is a chronic skin disease.,Dermatology
High Blood Pressure,"Benign essential hypertension, Essential hypertension, HBP, HTN, Hypertension",What is blood pressure? Blood pressure is the force of your blood pushing against the walls of your arteries.,"Hematology, Cardiology"
High Blood Pressure in Pregnancy,,What is high blood pressure in pregnancy? Blood pressure is the force of your blood pushing against the walls of your arteries as your heart pumps blood.,Gynecology
High Cholesterol in Children and Teens,,"What is cholesterol? Cholesterol is a waxy, fat-like substance that's found in all the cells in the body.","Hematology, Cardiology"
Hip Injuries and Disorders,,"Your hip is the joint where your femur (thigh bone) meets your pelvis (hip bone). There are two main parts: a ball at the end of the femur, which fits in a socket in the pelvis.",Orthopedics
Hip Replacement,"Hip arthroplasty, Hip prosthesis",Hip replacement is surgery for people with severe hip damage. The most common cause of damage is osteoarthritis.,Orthopedics
Histoplasmosis,,Histoplasmosis is a disease caused by a fungus (or mold) called Histoplasma. The fungus is common in the eastern and central United States.,Infectious Disease
HIV,"AIDS, Acquired immunodeficiency syndrome, Human immunodeficiency virus",What is HIV? HIV stands for human immunodeficiency virus.,Allergy and Immunology
HIV and Infections,"AIDS-related opportunistic infections, OIs",Having HIV/AIDS weakens your body's immune system. It destroys the white blood cells that fight infection.,Allergy and Immunology
HIV and Pregnancy,,"If you are pregnant or planning to get pregnant, it's important to get tested for HIV as soon as possible. If you find out that do have HIV, you can start treatment right away to protect your health and the health of your baby.",Allergy and Immunology
HIV in Women,,What is HIV? HIV stands for human immunodeficiency virus.,Allergy and Immunology
HIV Medicines,Antiretroviral therapy,What is HIV? HIV stands for human immunodeficiency virus.,Allergy and Immunology
HIV: PrEP and PEP,Pre-Exposure Prophylaxis and Post-Exposure Prophylaxis,What are PrEP and PEP? PrEP and PEP are medicines to prevent HIV.,Allergy and Immunology
Hives,Urticaria,Hives are red and sometimes itchy bumps on your skin. An allergic reaction to a drug or food usually causes them.,Allergy and Immunology
Hodgkin Lymphoma,Hodgkin Disease,"What is Hodgkin lymphoma? Hodgkin lymphoma, also called Hodgkin disease, is a type of cancer that develops in the lymph system.",Allergy and Immunology
Home Care Services,In-home care,Home care is care that allows a person with special needs to stay in their home. It might be for people who are getting older (aging in place).,Geriatrics
Hormone Replacement Therapy,"ERT, Estrogen replacement therapy, HRT, Menopausal hormone therapy",Menopause is the time in a woman's life when her period stops. It is a normal part of aging.,Endocrinology
Hormones,,Hormones are your body's chemical messengers. They travel in your bloodstream to tissues or organs.,Endocrinology
Household Products,,"The products you use for cleaning, carpentry, auto repair, gardening, and many other household uses can contain ingredients that can harm you, your family, and the environment. These include : Oven and drain cleaners Cleaning and disinfecting products, including bleach and antibacterial cleaners Laundry powder Floor polish Paint thinners, strippers, and removers Pesticides Grease and rust removers Motor oil and fuel additives Arts and craft supplies Toxic substances in these products can cause harm if inhaled, swallowed, or absorbed through the skin.",Medical Toxicology
How to Improve Mental Health,"Boost Emotional Wellness, Improve Emotional Health, Stay Positive","What is mental health? Mental health includes our emotional, psychological, and social well-being.",Psychiatry
How to Lower Cholesterol,,What is cholesterol? Your body needs some cholesterol to work properly.,"Hematology, Cardiology"
How to Lower Cholesterol with Diet,"Low Cholesterol Diet, TLC Diet, Therapeutic Lifestyle Changes Diet",What is cholesterol? Your body needs some cholesterol to work properly.,"Hematology, Cardiology"
How to Prevent Diabetes,,"What is type 2 diabetes? If you have diabetes, your blood sugar levels are too high.",Endocrinology
How to Prevent Heart Disease,,Heart disease is the leading cause of the death in the United States. It is also a major cause of disability.,"Hematology, Cardiology"
How to Prevent High Blood Pressure,Lowering High Blood Pressure,"More than 1 in 3 adults in the U.S. has high blood pressure, or hypertension. Many of those people don't know they have it, because there are usually no warning signs.","Hematology, Cardiology"
HPV,Human papillomavirus,What is HPV? Human papillomavirus (HPV) is a group of related viruses.,Gynecology
Huntington's Disease,"HD, Huntington's chorea","Huntington's disease (HD) is an inherited disease that causes certain nerve cells in the brain to waste away. People are born with the defective gene, but symptoms usually don't appear until middle age.",Neurology
Hydrocephalus,Water on the brain,"Hydrocephalus is the buildup of too much cerebrospinal fluid in the brain. Normally, this fluid cushions your brain.",Neurology
Hyperglycemia,"High blood glucose, High blood sugar","What is blood glucose? Blood glucose, or blood sugar, is the main sugar found in your blood.",Endocrinology
Hyperthyroidism,Overactive thyroid,"What is hyperthyroidism? Hyperthyroidism, or overactive thyroid, happens when your thyroid gland makes more thyroid hormones than your body needs.",Endocrinology
Hypoglycemia,Low blood sugar,"What is blood glucose? Blood glucose, or blood sugar, is the main sugar found in your blood.",Metabolic Medicine
Hypothermia,Cold-related illness,"Cold weather can affect your body in different ways. You can get frostbite, which is an injury to the body that is caused by freezing.",Trauma Surgery
Hypothyroidism,Underactive thyroid,"What is hypothyroidism? Hypothyroidism, or underactive thyroid, happens when your thyroid gland doesn't make enough thyroid hormones to meet your body's needs.",Endocrinology
Hysterectomy,,A hysterectomy is surgery to remove a woman's uterus or womb. The uterus is the place where a baby grows when a woman is pregnant.,Gynecology
Immune System and Disorders,,"What is the immune system? Your immune system is a complex network of cells, tissues, and organs.",Allergy and Immunology
Impetigo,,"Impetigo is a skin infection caused by bacteria. It is usually caused by staphylococcal (staph) bacteria, but it can also be caused by streptococcal (strep) bacteria.",Dermatology
Indigestion,"Dyspepsia, Upset stomach",Nearly everyone has had indigestion at one time. It's a feeling of discomfort or a burning feeling in your upper abdomen.,Gastroenterology
Indoor Air Pollution,,"We usually think of air pollution as being outdoors, but the air in your house or office could also be polluted. Sources of indoor pollution include: Mold and pollen Tobacco smoke Household products and pesticides Gases such as radon and carbon monoxide Materials used in the building such as asbestos, formaldehyde and lead Sometimes a group of people have symptoms that seem to be linked to time spent in a certain building.",Medical Toxicology
Infant and Newborn Care,Baby care,"Going home with a new baby is exciting, but it can be scary, too. Newborns have many needs, like frequent feedings and diaper changes.",Pediatrics
Infant and Newborn Development,,"When will my baby take his first step or say her first word? During their first year, babies start to develop skills they will use for the rest of their lives.",Pediatrics
Infant and Newborn Nutrition,,"Food provides the energy and nutrients that babies need to be healthy. For a baby, breast milk is best.",Pediatrics
Infection Control,,"Every year, lives are lost because of the spread of infections in hospitals. Health care workers can take steps to prevent the spread of infectious diseases.",Infectious Disease
Infections and Pregnancy,,"During pregnancy, some common infections like the common cold or a skin infection do not usually cause serious problems. But other infections can be dangerous to you, your baby, or both.",Gynecology
Infectious Arthritis,Septic arthritis,"Most kinds of arthritis cause pain and swelling in your joints. Joints are places where two bones meet, such as your elbow or knee.",Orthopedics
Infectious Diseases,Communicable diseases,"What are infectious diseases? Germs, or microbes, are found everywhere - in the air, soil, and water.",Allergy and Immunology
Infectious Mononucleosis,"Glandular fever, Kissing disease, Mono, Mononucleosis","Infectious mononucleosis, or ""mono"", is an infection usually caused by the Epstein-Barr virus. The virus spreads through saliva, which is why it's sometimes called ""kissing disease.""",Allergy and Immunology
Infertility,Sterility,"Infertility means not being able to become pregnant after a year of trying. If a woman can get pregnant but keeps having miscarriages or stillbirths, that's also called infertility.",Gynecology
Inhalants,Huffing,What are inhalants? Inhalants are substances that people inhale (breathe in) to get high.,Addiction Medicine
Inhalation Injuries,,"Inhalation injuries are acute injuries to your respiratory system and lungs. They can happen if you breathe in toxic substances, such as smoke (from fires), chemicals, particle pollution, and gases.",Pulmonology
Insect Bites and Stings,Bug bites,"Most insect bites are harmless, though they sometimes cause discomfort. Bee, wasp, and hornet stings and fire ant bites usually hurt.",Dermatology
Insomnia,,What is insomnia? Insomnia is a common sleep disorder.,Neurology
Interstitial Cystitis,"Bladder pain syndrome, IC, PBS, Painful bladder syndrome",Interstitial cystitis (IC) is a condition that causes discomfort or pain in the bladder and a need to urinate frequently and urgently. It is far more common in women than in men.,"Nephrology, Urology"
Interstitial Lung Diseases,,Interstitial lung disease is the name for a large group of diseases that inflame or scar the lungs. The inflammation and scarring make it hard to get enough oxygen.,Pulmonology
Intestinal Cancer,"Duodenal cancer, Ileal cancer, Jejunal cancer, Small intestine cancer",Your small intestine is part of your digestive system. It is a long tube that connects your stomach to your large intestine.,Gastroenterology
Intestinal Obstruction,"Bowel obstruction, Intestinal volvulus, Paralytic ileus",An intestinal obstruction occurs when food or stool cannot move through the intestines. The obstruction can be complete or partial.,Gastroenterology
Intimate Partner Violence,"Battery, Domestic violence, Partner abuse, Spousal abuse",What is intimate partner violence (IPV)? Intimate partner violence (IPV) is abuse that happens in a romantic relationship.,Trauma Surgery
Irritable Bowel Syndrome,"IBS, Irritable colon","Irritable bowel syndrome (IBS) is a problem that affects the large intestine. It can cause abdominal cramping, bloating, and a change in bowel habits.",Gastroenterology
Ischemic Stroke,"Embolic Stroke, Thrombotic stroke",A stroke is a medical emergency. There are two types - ischemic and hemorrhagic.,"Hematology, Cardiology"
Islet Cell Transplantation,,Islets are cells found in clusters throughout the pancreas. They are made up of several types of cells.,Gastroenterology
Itching,Pruritus,What is itching? Itching is an irritating sensation that makes you want to scratch your skin.,Dermatology
Jaundice,Icterus,Jaundice causes your skin and the whites of your eyes to turn yellow. Too much bilirubin causes jaundice.,Gastroenterology
Jaw Injuries and Disorders,,Your jaw is a set of bones that holds your teeth. It consists of two main parts.,Orthopedics
Joint Disorders,,What are joints? Your joints are places where two or more bones come together.,Orthopedics
Juvenile Arthritis,"Childhood arthritis, JRA, Juvenile idiopathic arthritis, Still's disease","Juvenile arthritis (JA) is arthritis that happens in children. It causes joint swelling, pain, stiffness, and loss of motion.",Orthopedics
Kaposi Sarcoma,KS,"What is Kaposi sarcoma? Kaposi sarcoma, sometimes called KS, is a type of cancer.",Dermatology
Kawasaki Disease,Mucocutaneous lymph node syndrome,What is Kawasaki disease? Kawasaki disease is a rare illness that usually affects small children.,"Hematology, Cardiology"
Kidney Cancer,"Hypernephroma, Renal cancer",You have two kidneys. They are fist-sized organs on either side of your backbone above your waist.,"Nephrology, Urology"
Kidney Cysts,,A cyst is a fluid-filled sac. You may get simple kidney cysts as you age; they are usually harmless.,"Nephrology, Urology"
Kidney Diseases,Renal disease,"You have two kidneys, each about the size of your fist. They are near the middle of your back, just below the rib cage.","Nephrology, Urology"
Kidney Failure,"ESRD, End-stage renal disease, Renal failure","Healthy kidneys clean your blood by removing excess fluid, minerals, and wastes. They also make hormones that keep your bones strong and your blood healthy.","Nephrology, Urology"
Kidney Stones,Nephrolithiasis,A kidney stone is a solid piece of material that forms in the kidney from substances in the urine. It may be as small as a grain of sand or as large as a pearl.,"Nephrology, Urology"
Kidney Tests,"Kidney Function Panel, Kidney Function Tests, Kidney Panel, Renal Function Panel",You have two kidneys. They are fist-sized organs on either side of your backbone above your waist.,"Nephrology, Urology"
Kidney Transplantation,Renal transplantation,"A kidney transplant is an operation that places a healthy kidney in your body. The transplanted kidney takes over the work of the two kidneys that failed, so you no longer need dialysis.","Nephrology, Urology"
Klinefelter Syndrome,XXY male,What is Klinefelter syndrome (KS)? Klinefelter syndrome (KS) is a genetic condition that happens when a male is born with an extra copy of the X chromosome.,Medical Genetics
Knee Injuries and Disorders,,"Your knee joint is made up of bone, cartilage, ligaments and fluid. Muscles and tendons help the knee joint move.",Orthopedics
Knee Replacement,Knee arthroplasty,"What is knee replacement surgery? Knee replacement surgery is a surgery to replace parts of your knee joint with new, artificial parts.",Orthopedics
Laboratory Tests,,"Laboratory tests check a sample of your blood, urine, or body tissues. A technician or your doctor analyzes the test samples to see if your results fall within the normal range.",Radiology
Lactose Intolerance,"Dairy product intolerance, Lactase deficiency, Milk intolerance",Lactose intolerance means that you cannot digest foods with lactose in them. Lactose is the sugar found in milk and foods made with milk.,Gastroenterology
Laser Eye Surgery,"Keratectomy, LASIK, LTK, PRK","For many people, laser eye surgery can correct their vision so they no longer need glasses or contact lenses. Laser eye surgery reshapes the cornea, the clear front part of the eye.",Ophthalmology
Latex Allergy,,Latex is a milky fluid that comes from the tropical rubber tree. Hundreds of everyday products contain latex.,Allergy and Immunology
Latino and Hispanic American Health,,"Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from: Genetics Environmental factors Access to care Cultural factors On this page, you'll find links to health issues that affect Latino and Hispanic Americans.","Geriatrics, Pediatrics"
"LDL: The ""Bad"" Cholesterol",Low-density lipoprotein,"What is cholesterol? Cholesterol is a waxy, fat-like substance that's found in all the cells in your body.","Hematology, Cardiology"
Lead Poisoning,Plumbism,Lead is a metal that occurs naturally in the earth's crust. Lead can be found in all parts of our environment.,Medical Toxicology
Learning Disabilities,"Learning differences, Learning disorders",What is a learning disability? Learning disabilities are conditions that affect the ability to learn.,Psychiatry
Leg Injuries and Disorders,,"Your legs are made up of bones, blood vessels, muscles, and other connective tissue. They are important for motion and standing.",Orthopedics
Legionnaires' Disease,Legionellosis,Legionnaires' disease is a type of pneumonia caused by bacteria. You usually get it by breathing in mist from water that contains the bacteria.,Pulmonology
Leishmaniasis,Kala-azar,Leishmaniasis is a parasitic disease spread by the bite of infected sand flies. There are several different forms of leishmaniasis.,Dermatology
Leukemia,,What is leukemia? Leukemia is a term for cancers of the blood cells.,"Hematology, Cardiology"
Leukodystrophies,,What are leukodystrophies? Leukodystrophies are a group of rare genetic disorders that affect the central nervous system (CNS).,Neurology
Lewy Body Dementia,"Dementia with Lewy bodies, LBD, Lewy Body Disease, Parkinson's disease dementia",What is Lewy body dementia (LBD)? Lewy body dementia (LBD) is one of the most common types of dementia in older adults.,Neurology
LGBTQIA+ Health,,Members of the LGBTQIA+ community include people who are: Lesbian Gay Bisexual Transgender Queer or Questioning Intersex Asexual Elsewhere on the gender and sexuality spectrum or allies to the community On this page you'll find information about health issues that are specific to the LGBTQIA+ community.,"Urology, Andrology"
Limb Loss,,People can lose all or part of an arm or leg for a number of reasons. Common ones include: Problems with blood circulation.,Orthopedics
Lipid Metabolism Disorders,,"Metabolism is the process your body uses to make energy from the food you eat. Food is made up of proteins, carbohydrates, and fats.",Metabolic Medicine
Listeria Infections,Listeriosis,"Listeriosis is a foodborne illness caused by Listeria monocytogenes, bacteria found in soil and water. It can be in a variety of raw foods as well as in processed foods and foods made from unpasteurized milk.",Infectious Disease
Liver Cancer,Hepatocellular carcinoma,"Your liver is the largest organ inside your body. It helps your body digest food, store energy, and remove poisons.",Gastroenterology
Liver Diseases,Hepatic disease,"Your liver is the largest organ inside your body. It helps your body digest food, store energy, and remove poisons.",Gastroenterology
Liver Transplantation,Hepatic transplantation,"Your liver is the largest organ inside your body. It helps your body digest food, store energy, and remove poisons.",Gastroenterology
Living with HIV,,What are HIV and AIDS? HIV stands for human immunodeficiency virus.,Allergy and Immunology
Low Blood Pressure,"Hypotension, LBP",You've probably heard that high blood pressure is a problem. Sometimes blood pressure that is too low can also cause problems.,"Hematology, Cardiology"
Lung Cancer,Bronchogenic carcinoma,"What is lung cancer? Lung cancer is cancer that forms in tissues of the lung, usually in the cells that line the air passages.",Pulmonology
Lung Diseases,,"When you breathe, your lungs take in oxygen from the air and deliver it to the bloodstream. The cells in your body need oxygen to work and grow.",Pulmonology
Lung Transplantation,,A lung transplant removes a person's diseased lung and replaces it with a healthy one. The healthy lung comes from a donor who has died.,Pulmonology
Lupus,"Discoid lupus, SLE, Subacute cutaneous lupus, Systemic lupus erythematosus",What is lupus? Lupus is an autoimmune disease.,Allergy and Immunology
Lyme Disease,,What is Lyme disease? Lyme disease is a bacterial infection you get from the bite of an infected tick.,Infectious Disease
Lymphatic Diseases,,The lymphatic system is a network of tissues and organs. It is made up of: Lymph - a fluid that contains white blood cells that defend against germs Lymph vessels - vessels that carry lymph throughout your body.,Allergy and Immunology
Lymphedema,Lymphatic obstruction,Lymphedema is the name of a type of swelling. It happens when lymph builds up in your body's soft tissues.,"Hematology, Cardiology"
Lymphoma,Non-Hodgkin lymphoma,Lymphoma is a cancer of a part of the immune system called the lymph system. There are many types of lymphoma.,Allergy and Immunology
Macular Degeneration,"AMD, Age-related macular degeneration","Macular degeneration, or age-related macular degeneration (AMD), is a leading cause of vision loss in Americans 60 and older. It is a disease that destroys your sharp, central vision.",Ophthalmology
Malabsorption Syndromes,,"Your small intestine does most of the digesting of the foods you eat. If you have a malabsorption syndrome, your small intestine cannot absorb nutrients from foods.",Gastroenterology
Malaria,,Malaria is a serious disease caused by a parasite. You get it when an infected mosquito bites you.,"Hematology, Cardiology"
Male Breast Cancer,,"Although breast cancer is much more common in women, men can get it too. It happens most often to men between the ages of 60 and 70.",Oncology
Male Infertility,,"Infertility is a term doctors use if a man hasn't been able to get a woman pregnant after at least one year of trying. Causes of male infertility include: Physical problems with the testicles Blockages in the ducts that carry sperm Hormone problems A history of high fevers or mumps Genetic disorders Lifestyle or environmental factors About a third of the time, infertility is because of a problem with the man.","Urology, Andrology"
Mammography,,What is a mammogram? A mammogram is an x-ray picture of the breast.,Gynecology
Marfan Syndrome,,"Marfan syndrome is a disorder that affects connective tissue. Connective tissues are proteins that support skin, bones, blood vessels, and other organs.",Medical Genetics
Marijuana,"Cannabis, Ganja, Grass, Hash, Pot, Weed","What is marijuana? Marijuana is a green, brown, or gray mix of dried, crumbled parts from the marijuana plant.",Addiction Medicine
Mastectomy,,A mastectomy is surgery to remove a breast or part of a breast. It is usually done to treat breast cancer.,Gynecology
Measles,Rubeola,Measles is an infectious disease caused by a virus. It spreads easily from person to person.,Dermatology
Medicare,,"Medicare is the U.S. government's health insurance program for people age 65 or older. Some people under age 65 can qualify for Medicare, too.",Geriatrics
Medication Errors,,"Medicines treat infectious diseases, prevent problems from chronic diseases, and ease pain. But medicines can also cause harmful reactions if not used correctly.",Pharmacology
Medicines,"Drugs, Medications","Medicines can treat diseases and improve your health. If you are like most people, you need to take medicine at some point in your life.",Pharmacology
Medicines and Children,,Children aren't just small adults. It is especially important to remember this when giving medicines to children.,Pharmacology
Melanoma,,"Melanoma is the most serious type of skin cancer. Often the first sign of melanoma is a change in the size, shape, color, or feel of a mole.",Dermatology
Memory,,"Every day, you have different experiences and you learn new things. Your brain cannot store all of that information, so it has to decide what is worth remembering.",Neurology
Men's Health,,"Most men need to pay more attention to their health. Compared to women, men are more likely to: Smoke and drink Make unhealthy or risky choices Put off regular checkups and medical care There are also health conditions that only affect men, such as prostate cancer and low testosterone.","Urology, Andrology"
Meniere's Disease,,"Meniere's disease is a disorder of the inner ear. It can cause severe dizziness, a roaring sound in your ears called tinnitus, hearing loss that comes and goes and the feeling of ear pressure or pain.",Otolaryngology
Meningitis,Spinal meningitis,"Meningitis is inflammation of the thin tissue that surrounds the brain and spinal cord, called the meninges. There are several types of meningitis.",Neurology
Meningococcal Infections,,"Meningococci are a type of bacteria that cause serious infections. The most common infection is meningitis, which is an inflammation of the thin tissue that surrounds the brain and spinal cord.",Infectious Disease
Menopause,Change of life,"Menopause is the time in a woman's life when her period stops. It usually occurs naturally, most often after age 45.",Gynecology
Menstruation,"Menses, Menstrual period, Period","Menstruation, or period, is normal vaginal bleeding that occurs as part of a woman's monthly cycle. Every month, your body prepares for pregnancy.",Endocrinology
Mental Disorders,Mental illness,"What are mental disorders? Mental disorders (or mental illnesses) are conditions that affect your thinking, feeling, mood, and behavior.",Psychiatry
Mental Health,,"What is mental health? Mental health includes our emotional, psychological, and social well-being.",Psychiatry
